# Article,Book,EBook,Film,Person,Software,Sound,Website
1.040426389125243622e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.592592592499999959e+00,3.230769231000000241e-01,0.000000000000000000e+00,7.500000000000000000e-01
0.000000000000000000e+00,1.360205031655998482e+02,6.388888888999999516e-01,6.923076922999999994e-01,0.000000000000000000e+00,2.996336996300000166e+00,6.065750915999998938e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.388888888999999516e-01,1.000000000000000000e+00,8.638888889000000404e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.358974358999999854e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.923076922999999994e-01,8.638888889000000404e-01,3.694444444400000194e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.592592592499999959e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.049999999980000354e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.230769231000000241e-01,2.996336996300000166e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.952380952399999980e+00,4.901213369999999792e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.065750915999999826e+00,3.358974358999999854e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.901213370000000680e+00,1.442513736279999925e+01,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
